trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
23479388,7/1/2019 0:00,7/1/2019 0:20,3591,"1,214.00",117,Wilton Ave & Belmont Ave,497,Kimball Ave & Belmont Ave,Subscriber,Male,1992
23479389,7/1/2019 0:01,7/1/2019 0:18,5353,"1,048.00",381,Western Ave & Monroe St,203,Western Ave & 21st St,Customer,,
23479390,7/1/2019 0:01,7/1/2019 0:27,6180,"1,554.00",313,Lakeview Ave & Fullerton Pkwy,144,Larrabee St & Webster Ave,Customer,,
23479391,7/1/2019 0:02,7/1/2019 0:27,5540,"1,503.00",313,Lakeview Ave & Fullerton Pkwy,144,Larrabee St & Webster Ave,Customer,,
23479392,7/1/2019 0:02,7/1/2019 0:22,6014,"1,213.00",168,Michigan Ave & 14th St,62,McCormick Place,Customer,,
23479393,7/1/2019 0:02,7/1/2019 0:07,4941,310,300,Broadway & Barry Ave,232,Pine Grove Ave & Waveland Ave,Subscriber,Male,1990
23479394,7/1/2019 0:02,7/1/2019 0:23,3770,"1,248.00",168,Michigan Ave & 14th St,62,McCormick Place,Customer,,
23479395,7/1/2019 0:02,7/1/2019 0:28,5442,"1,550.00",313,Lakeview Ave & Fullerton Pkwy,144,Larrabee St & Webster Ave,Customer,,
23479396,7/1/2019 0:02,7/1/2019 0:28,2957,"1,583.00",43,Michigan Ave & Washington St,195,Columbus Dr & Randolph St,Customer,,
23479397,7/1/2019 0:02,7/1/2019 0:29,6091,"1,589.00",43,Michigan Ave & Washington St,195,Columbus Dr & Randolph St,Customer,,
23479398,7/1/2019 0:02,7/1/2019 0:29,4116,"1,568.00",511,Albany Ave & Bloomingdale Ave,84,Milwaukee Ave & Grand Ave,Customer,,
23479399,7/1/2019 0:03,7/1/2019 0:28,4948,"1,543.00",43,Michigan Ave & Washington St,195,Columbus Dr & Randolph St,Customer,,
23479400,7/1/2019 0:04,7/1/2019 0:36,307,"1,967.00",24,Fairbanks Ct & Grand Ave,24,Fairbanks Ct & Grand Ave,Customer,,
23479401,7/1/2019 0:04,7/1/2019 0:36,2422,"1,951.00",24,Fairbanks Ct & Grand Ave,24,Fairbanks Ct & Grand Ave,Customer,,
23479402,7/1/2019 0:04,7/1/2019 0:37,3369,"1,961.00",24,Fairbanks Ct & Grand Ave,24,Fairbanks Ct & Grand Ave,Customer,,
23479403,7/1/2019 0:05,7/1/2019 0:37,4050,"1,910.00",24,Fairbanks Ct & Grand Ave,24,Fairbanks Ct & Grand Ave,Customer,,
23479404,7/1/2019 0:06,7/1/2019 0:33,1535,"1,647.00",43,Michigan Ave & Washington St,43,Michigan Ave & Washington St,Customer,,
23479405,7/1/2019 0:06,7/1/2019 0:33,4722,"1,618.00",43,Michigan Ave & Washington St,43,Michigan Ave & Washington St,Customer,,
23479406,7/1/2019 0:06,7/1/2019 0:26,2758,"1,171.00",624,Dearborn St & Van Buren St,237,MLK Jr Dr & 29th St,Subscriber,Male,1995
23479407,7/1/2019 0:06,7/1/2019 0:33,1614,"1,593.00",43,Michigan Ave & Washington St,43,Michigan Ave & Washington St,Customer,,
23479408,7/1/2019 0:08,7/1/2019 0:20,2447,703,239,Western Ave & Leland Ave,455,Maplewood Ave & Peterson Ave,Subscriber,Male,1970
23479409,7/1/2019 0:08,7/1/2019 0:27,6336,"1,150.00",257,Lincoln Ave & Waveland Ave,295,Broadway & Argyle St,Subscriber,Male,1993
23479410,7/1/2019 0:08,7/1/2019 0:19,3249,639,309,Leavitt St & Armitage Ave,113,Bissell St & Armitage Ave,Customer,,
23479411,7/1/2019 0:10,7/1/2019 0:19,3632,556,76,Lake Shore Dr & Monroe St,59,Wabash Ave & Roosevelt Rd,Customer,,
23479412,7/1/2019 0:10,7/1/2019 1:46,3154,"5,757.00",90,Millennium Park,90,Millennium Park,Customer,,
23479414,7/1/2019 0:11,7/1/2019 0:25,2138,859,313,Lakeview Ave & Fullerton Pkwy,58,Marshfield Ave & Cortland St,Customer,,
23479415,7/1/2019 0:11,7/1/2019 1:46,1713,"5,722.00",90,Millennium Park,90,Millennium Park,Customer,,
23479416,7/1/2019 0:14,7/2/2019 7:53,1122,"113,948.00",123,California Ave & Milwaukee Ave,509,Troy St & North Ave,Customer,,
23479417,7/1/2019 0:14,7/1/2019 1:15,356,"3,660.00",123,California Ave & Milwaukee Ave,222,Milwaukee Ave & Rockwell St,Customer,,
23479418,7/1/2019 0:15,7/1/2019 0:36,4525,"1,294.00",240,Sheridan Rd & Irving Park Rd,326,Clark St & Leland Ave,Customer,Male,1987
23479419,7/1/2019 0:18,7/1/2019 0:45,1132,"1,624.00",6,Dusable Harbor,321,Wabash Ave & 9th St,Customer,Female,1998
